,Unnamed: 0,name,eps_orig,eps_orig_perc,eps_thresh,eps_thresh_perc,axis
0,0,image A1,0.4286522962962963,0.427840037037037,0.1203366296296296,0.1166278888888888,0
1,1,image A1,0.4286522962962963,0.427840037037037,0.0527845555555555,0.015884037037037,1
2,2,image A1,0.4286522962962963,0.427840037037037,0.1203366296296296,0.1166278888888888,2
0,0,image C1,0.23261375,0.212224421875,0.0660465,0.047020625,0
1,1,image C1,0.23261375,0.212224421875,0.04571784375,0.017518109375,1
2,2,image C1,0.23261375,0.212224421875,0.04571784375,0.017518109375,2
0,0,image C2,0.168307671875,0.138599578125,0.0820415625,0.04455240625,0
1,1,image C2,0.168307671875,0.138599578125,0.0820415625,0.04455240625,1
2,2,image C2,0.168307671875,0.138599578125,0.0820415625,0.04455240625,2
0,0,image S1,0.1413027777777777,0.1405105185185185,0.066877074074074,0.0567318148148148,0
1,1,image S1,0.1413027777777777,0.1405105185185185,0.066877074074074,0.0567318148148148,1
2,2,image S1,0.1413027777777777,0.1405105185185185,0.066877074074074,0.0567318148148148,2
0,0,image S2,0.246277,0.2458008518518518,0.0660386666666666,0.0550135555555555,0
1,1,image S2,0.246277,0.2458008518518518,0.0660386666666666,0.0550135555555555,1
2,2,image S2,0.246277,0.2458008518518518,0.0660386666666666,0.0550135555555555,2
0,0,image S3,0.1685703703703703,0.1648839629629629,0.1685703703703703,0.1648839629629629,0
1,1,image S3,0.1685703703703703,0.1648839629629629,0.1685703703703703,0.1648839629629629,1
2,2,image S3,0.1685703703703703,0.1648839629629629,0.1685703703703703,0.1648839629629629,2
0,0,image S4,0.1712575185185185,0.1629426296296296,0.1712575185185185,0.1629426296296296,0
1,1,image S4,0.1712575185185185,0.1629426296296296,0.1712575185185185,0.1629426296296296,1
2,2,image S4,0.1712575185185185,0.1629426296296296,0.1712575185185185,0.1629426296296296,2
0,0,image S5,0.2113091481481481,0.2108805185185185,0.0421777037037037,0.013525074074074,0
1,1,image S5,0.2113091481481481,0.2108805185185185,0.0820568518518518,0.0747478888888888,1
2,2,image S5,0.2113091481481481,0.2108805185185185,0.0604083703703703,0.0263233703703703,2
0,0,image S6,0.2395928888888888,0.239255,0.0771445925925926,0.0597046666666666,0
1,1,image S6,0.2395928888888888,0.239255,0.0771445925925926,0.0597046666666666,1
2,2,image S6,0.2395928888888888,0.239255,0.0578245925925925,0.014542037037037,2
0,0,image S7,0.250482,0.2503316666666667,0.0627025555555555,0.0559058518518518,0
1,1,image S7,0.250482,0.2503316666666667,0.0391189259259259,0.0133157037037037,1
2,2,image S7,0.250482,0.2503316666666667,0.0627025555555555,0.0559058518518518,2
0,0,image S8,0.3398117407407407,0.3392442222222222,0.0759532962962963,0.0704354814814814,0
1,1,image S8,0.3398117407407407,0.3392442222222222,0.0759532962962963,0.0704354814814814,1
2,2,image S8,0.3398117407407407,0.3392442222222222,0.0759532962962963,0.0704354814814814,2
0,0,image S9,0.2217458888888888,0.2211218888888889,0.0627517777777777,0.0168231851851851,0
1,1,image S9,0.2217458888888888,0.2211218888888889,0.0857415925925925,0.0791552962962962,1
2,2,image S9,0.2217458888888888,0.2211218888888889,0.0627517777777777,0.0201313333333333,2
