,name,tau_x,tau_y,tau_z
0,image A1,2.4285084733984807,1.9803395313551746,1.902212789766123
1,image C1,5.766918532862068,4.661369014730741,7.159580343441358
2,image C2,34.25208380523062,16.75587879467051,25.634854553398398
3,image S1,7.540222545057402,5.3371880647370356,5.113422112832396
4,image S2,3.085685169594133,2.7859821478036118,2.6691400779739802
5,image S3,11.63549822299921,6.928528751151726,8.626548510934018
6,image S4,18.706630107294863,11.613151191164151,12.168170437923651
7,image S5,3.3510054403209812,3.078082439887078,2.967780644142923
8,image S6,3.0917065537072466,2.6735300729882376,2.452587186520368
9,image S7,2.794441008045472,2.323393516938376,2.3991159316487893
10,image S8,2.213556055401969,2.0251918335772108,2.042875128758407
11,image S9,4.008987793427968,4.39599677172473,3.630918039431803
